comparison_track_id,comparison_track_label,metric,window_km,pair_count,mean_value,min_value,max_value,notes
deterministic,OpenDrift deterministic,FSS,1,3,0.6666666666666666,0.33333333333333337,1.0,Footprint-mask Fractions Skill Score on OpenDrift deterministic vs deterministic PyGNOME.
deterministic,OpenDrift deterministic,FSS,3,3,0.7293832293832293,0.41891891891891897,1.0,Footprint-mask Fractions Skill Score on OpenDrift deterministic vs deterministic PyGNOME.
deterministic,OpenDrift deterministic,FSS,5,3,0.7288695652173912,0.404,1.0,Footprint-mask Fractions Skill Score on OpenDrift deterministic vs deterministic PyGNOME.
deterministic,OpenDrift deterministic,FSS,10,3,0.7285177098495875,0.39388646288209594,1.0,Footprint-mask Fractions Skill Score on OpenDrift deterministic vs deterministic PyGNOME.
deterministic,OpenDrift deterministic,KL,,3,5.333625947013979,0.0,15.04018322297185,KL divergence on ocean-only normalized density rasters after epsilon handling and renormalization.
deterministic,OpenDrift deterministic,PAIRING,,3,,,,Benchmark raster pairing count.
ensemble_p50,OpenDrift p50 occupancy footprint,FSS,1,3,0.27843137254901956,0.19999999999999996,0.4,Footprint-mask Fractions Skill Score on OpenDrift p50 occupancy footprint vs deterministic PyGNOME.
ensemble_p50,OpenDrift p50 occupancy footprint,FSS,3,3,0.39228873873926706,0.2648648648648646,0.5709372312983663,Footprint-mask Fractions Skill Score on OpenDrift p50 occupancy footprint vs deterministic PyGNOME.
ensemble_p50,OpenDrift p50 occupancy footprint,FSS,5,3,0.3600389458028195,0.24246771879483497,0.5370675453047775,Footprint-mask Fractions Skill Score on OpenDrift p50 occupancy footprint vs deterministic PyGNOME.
ensemble_p50,OpenDrift p50 occupancy footprint,FSS,10,3,0.33553627610266207,0.22977725674091454,0.4982471795525527,Footprint-mask Fractions Skill Score on OpenDrift p50 occupancy footprint vs deterministic PyGNOME.
ensemble_p50,OpenDrift p50 occupancy footprint,KL,,3,2.3489948480262255,2.0814772746211485,2.7682883342449616,KL divergence on ocean-only normalized density rasters after epsilon handling and renormalization.
ensemble_p50,OpenDrift p50 occupancy footprint,PAIRING,,3,,,,Benchmark raster pairing count.
ensemble_p90,OpenDrift p90 occupancy footprint,FSS,1,3,0.3089225589225589,0.2222222222222221,0.4545454545454546,Footprint-mask Fractions Skill Score on OpenDrift p90 occupancy footprint vs deterministic PyGNOME.
ensemble_p90,OpenDrift p90 occupancy footprint,FSS,3,3,0.4303852334204216,0.2931596091205212,0.6365503080082136,Footprint-mask Fractions Skill Score on OpenDrift p90 occupancy footprint vs deterministic PyGNOME.
ensemble_p90,OpenDrift p90 occupancy footprint,FSS,5,3,0.396111992799334,0.27055702917771873,0.5984396512161541,Footprint-mask Fractions Skill Score on OpenDrift p90 occupancy footprint vs deterministic PyGNOME.
ensemble_p90,OpenDrift p90 occupancy footprint,FSS,10,3,0.37350656460284193,0.257226491035492,0.5663094440723375,Footprint-mask Fractions Skill Score on OpenDrift p90 occupancy footprint vs deterministic PyGNOME.
ensemble_p90,OpenDrift p90 occupancy footprint,KL,,3,2.2325635372622044,2.0124845817906807,2.605769826827319,KL divergence on ocean-only normalized density rasters after epsilon handling and renormalization.
ensemble_p90,OpenDrift p90 occupancy footprint,PAIRING,,3,,,,Benchmark raster pairing count.
