recipe,recipe_rank_pool,segment_count,valid_segment_count,invalid_segment_count,mean_ncs_score,median_ncs_score,std_ncs_score,min_ncs_score,max_ncs_score,is_gfs_recipe
cmems_era5,official_phase1_production,89,89,0,4.7051741119283506,4.720998091566853,1.207502273080695,1.670857340832405,7.8092668093767275,False
cmems_gfs,official_phase1_production,89,89,0,4.684226302077173,4.658595833770084,1.213110018129861,1.7222050327433354,7.871034821417579,True
hycom_era5,official_phase1_production,89,89,0,4.706279149586577,4.5359515261298275,1.4986340246181917,1.190757095484162,8.295739254986275,False
hycom_gfs,official_phase1_production,89,89,0,4.6874378285350415,4.49022524145038,1.4933257367438613,1.1609308638525682,8.290701001518432,True
