segment_id,drifter_id,start_time_utc,end_time_utc,month_key,recipe,validity_flag,status_flag,hard_fail,hard_fail_reason,invalidity_reason,ncs_score,actual_current_reader,actual_wind_reader,actual_wave_reader,wave_loading_status,current_fallback_used,wind_fallback_used,wave_fallback_used,recipe_family,is_gfs_recipe
300234063155100_20170212T000000Z_20170215T000000Z,300234063155100,2017-02-12T00:00:00+00:00,2017-02-15T00:00:00+00:00,201702,hycom_gfs,valid,valid,False,,,3.1668669640224256,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063155100_20170215T060000Z_20170218T060000Z,300234063155100,2017-02-15T06:00:00+00:00,2017-02-18T06:00:00+00:00,201702,cmems_era5,valid,valid,False,,,4.792649522222505,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063155100_20170215T060000Z_20170218T060000Z,300234063155100,2017-02-15T06:00:00+00:00,2017-02-18T06:00:00+00:00,201702,cmems_gfs,valid,valid,False,,,4.79237272880171,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063155100_20170215T060000Z_20170218T060000Z,300234063155100,2017-02-15T06:00:00+00:00,2017-02-18T06:00:00+00:00,201702,hycom_era5,valid,valid,False,,,4.2781562280239935,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063155100_20170215T060000Z_20170218T060000Z,300234063155100,2017-02-15T06:00:00+00:00,2017-02-18T06:00:00+00:00,201702,hycom_gfs,valid,valid,False,,,4.281274015513655,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063155100_20170218T120000Z_20170221T120000Z,300234063155100,2017-02-18T12:00:00+00:00,2017-02-21T12:00:00+00:00,201702,cmems_era5,valid,valid,False,,,4.422266937999016,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063155100_20170218T120000Z_20170221T120000Z,300234063155100,2017-02-18T12:00:00+00:00,2017-02-21T12:00:00+00:00,201702,cmems_gfs,valid,valid,False,,,4.39878998231295,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063155100_20170218T120000Z_20170221T120000Z,300234063155100,2017-02-18T12:00:00+00:00,2017-02-21T12:00:00+00:00,201702,hycom_era5,valid,valid,False,,,4.029817703582225,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063155100_20170218T120000Z_20170221T120000Z,300234063155100,2017-02-18T12:00:00+00:00,2017-02-21T12:00:00+00:00,201702,hycom_gfs,valid,valid,False,,,4.007259973757037,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250850_20170223T120000Z_20170226T120000Z,300234063250850,2017-02-23T12:00:00+00:00,2017-02-26T12:00:00+00:00,201702,cmems_era5,valid,valid,False,,,4.720998091566853,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
