segment_id,segment_status,rejection_reason,drifter_id,start_time_utc,end_time_utc,month_key,expected_observation_count,actual_observation_count,coverage_complete,coverage_gap_detected,start_point_in_validation_box,window_points_within_validation_box,regional_box_status,non_overlap_status,drogue_status_complete,drogue_attached_through_window,drogue_lost_date_start_row,deploy_date_start_row,start_lat,start_lon,end_lat,end_lon,ve_start,vn_start,err_lat_start,err_lon_start,DrogueType,DrogueLength,DrogueDetectSensor
300234063253730_20170705T120000Z_20170708T120000Z,accepted,,300234063253730,2017-07-05T12:00:00+00:00,2017-07-08T12:00:00+00:00,201707,13,13,True,False,True,True,inside,accepted,True,True,2017-11-24T00:00:00+00:00,2017-04-05T00:00:00+00:00,14.756,124.427,16.136,124.073,-0.52372,0.44901,,,HOLY253,7.5 m,tether strain
300234063253730_20170729T060000Z_20170801T060000Z,accepted,,300234063253730,2017-07-29T06:00:00+00:00,2017-08-01T06:00:00+00:00,201707,13,13,True,False,True,True,inside,accepted,True,True,2017-11-24T00:00:00+00:00,2017-04-05T00:00:00+00:00,16.424,124.338,15.768,124.48,0.01203,-0.47144,,,HOLY253,7.5 m,tether strain
300234063257280_20180417T120000Z_20180420T120000Z,accepted,,300234063257280,2018-04-17T12:00:00+00:00,2018-04-20T12:00:00+00:00,201804,13,13,True,False,True,True,inside,accepted,True,True,2018-05-02T00:00:00+00:00,2017-09-13T00:00:00+00:00,14.413,124.487,14.973,123.714,-0.24576,0.20521,,,HOLY253,7.5 m,tether strain
300234063257280_20180420T180000Z_20180423T180000Z,accepted,,300234063257280,2018-04-20T18:00:00+00:00,2018-04-23T18:00:00+00:00,201804,13,13,True,False,True,True,inside,accepted,True,True,2018-05-02T00:00:00+00:00,2017-09-13T00:00:00+00:00,15.028,123.648,15.819,122.982,-0.34161,0.30365,,,HOLY253,7.5 m,tether strain
300234063258180_20180922T000000Z_20180925T000000Z,accepted,,300234063258180,2018-09-22T00:00:00+00:00,2018-09-25T00:00:00+00:00,201809,13,13,True,False,True,True,inside,accepted,True,True,2018-10-05T00:00:00+00:00,2017-08-10T00:00:00+00:00,15.733,124.457,15.448,123.563,-0.25548,-0.14917,,,HOLY253,7.5 m,tether strain
300234063258180_20180925T060000Z_20180928T060000Z,accepted,,300234063258180,2018-09-25T06:00:00+00:00,2018-09-28T06:00:00+00:00,201809,13,13,True,False,True,True,inside,accepted,True,True,2018-10-05T00:00:00+00:00,2017-08-10T00:00:00+00:00,15.504,123.566,15.337,122.947,0.12463,0.08266,,,HOLY253,7.5 m,tether strain
300234063258180_20180928T120000Z_20181001T120000Z,accepted,,300234063258180,2018-09-28T12:00:00+00:00,2018-10-01T12:00:00+00:00,201809,13,13,True,False,True,True,inside,accepted,True,True,2018-10-05T00:00:00+00:00,2017-08-10T00:00:00+00:00,15.368,122.902,15.874,122.565,-0.15365,0.11888,,,HOLY253,7.5 m,tether strain
300234063258180_20181001T180000Z_20181004T180000Z,accepted,,300234063258180,2018-10-01T18:00:00+00:00,2018-10-04T18:00:00+00:00,201810,13,13,True,False,True,True,inside,accepted,True,True,2018-10-05T00:00:00+00:00,2017-08-10T00:00:00+00:00,15.926,122.579,16.49,122.599,0.01872,0.13955,,,HOLY253,7.5 m,tether strain
300234063345270_20170824T180000Z_20170827T180000Z,accepted,,300234063345270,2017-08-24T18:00:00+00:00,2017-08-27T18:00:00+00:00,201708,13,13,True,False,True,True,inside,accepted,True,True,2018-01-17T00:00:00+00:00,2016-07-12T00:00:00+00:00,14.277,124.475,15.717,123.497,-0.27873,0.62795,,,HOLY253,7.5 m,tether strain
300234063894910_20161205T180000Z_20161208T180000Z,accepted,,300234063894910,2016-12-05T18:00:00+00:00,2016-12-08T18:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.772,124.468,15.519,124.414,-0.17226,-0.12527,,,HOLY230,6.6 m,tether strain
