segment_id,segment_status,rejection_reason,drifter_id,start_time_utc,end_time_utc,month_key,expected_observation_count,actual_observation_count,coverage_complete,coverage_gap_detected,start_point_in_validation_box,window_points_within_validation_box,phase1_validation_box_status,non_overlap_status,drogue_status_complete,drogue_attached_through_window,drogue_lost_date_start_row,deploy_date_start_row,start_lat,start_lon,end_lat,end_lon,ve_start,vn_start,err_lat_start,err_lon_start,DrogueType,DrogueLength,DrogueDetectSensor,distance_audit_source_label,distance_audit_source_lon,distance_audit_source_lat,distance_to_source_start_km,distance_to_source_end_km,nearest_endpoint_distance_to_source_km,nearest_endpoint_label
300234063154080_20170210T180000Z_20170213T180000Z,accepted,,300234063154080,2017-02-10T18:00:00+00:00,2017-02-13T18:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-02-20T00:00:00+00:00,2016-11-16T00:00:00+00:00,15.207,124.286,15.21,123.728,-0.24332,-0.04021,0.002,0.002,HOLY244,7.5 m,tether strain,mindoro_source_point,121.5279999999,13.3229999999501,363.6151247109002,316.5901133095444,316.5901133095444,end
300234063154080_20170214T000000Z_20170217T000000Z,accepted,,300234063154080,2017-02-14T00:00:00+00:00,2017-02-17T00:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-02-20T00:00:00+00:00,2016-11-16T00:00:00+00:00,15.226,123.675,15.566,123.077,-0.28627,0.07742,0.02,0.013,HOLY244,7.5 m,tether strain,mindoro_source_point,121.5279999999,13.3229999999501,313.52808537870243,300.0372733268023,300.0372733268023,end
300234063155100_20170213T180000Z_20170216T180000Z,accepted,,300234063155100,2017-02-13T18:00:00+00:00,2017-02-16T18:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-02-24T00:00:00+00:00,2016-11-16T00:00:00+00:00,14.751,124.301,14.821,123.876,-0.16747,0.02184,0.007,0.005,HOLY244,7.5 m,tether strain,mindoro_source_point,121.5279999999,13.3229999999501,338.6581568582101,303.11200999086265,303.11200999086265,end
300234063155100_20170217T000000Z_20170220T000000Z,accepted,,300234063155100,2017-02-17T00:00:00+00:00,2017-02-20T00:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-02-24T00:00:00+00:00,2016-11-16T00:00:00+00:00,14.836,123.83,15.083,123.348,-0.18089,0.05358,0.002,0.002,HOLY244,7.5 m,tether strain,mindoro_source_point,121.5279999999,13.3229999999501,299.9050187250716,277.1030454032081,277.1030454032081,end
300234063155100_20170220T060000Z_20170223T060000Z,accepted,,300234063155100,2017-02-20T06:00:00+00:00,2017-02-23T06:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-02-24T00:00:00+00:00,2016-11-16T00:00:00+00:00,15.122,123.318,15.396,122.718,-0.19986,0.19939,0.017,0.011,HOLY244,7.5 m,tether strain,mindoro_source_point,121.5279999999,13.3229999999501,277.9161551285309,263.7493187545472,263.7493187545472,end
300234063250850_20170227T000000Z_20170302T000000Z,accepted,,300234063250850,2017-02-27T00:00:00+00:00,2017-03-02T00:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-03-13T00:00:00+00:00,2016-10-08T00:00:00+00:00,16.004,123.964,15.649,123.655,-0.23649,-0.30099,0.002,0.002,HOLY244,7.5 m,tether strain,mindoro_source_point,121.5279999999,13.3229999999501,396.8951128100634,345.4320001856738,345.4320001856738,end
300234063250850_20170302T060000Z_20170305T060000Z,accepted,,300234063250850,2017-03-02T06:00:00+00:00,2017-03-05T06:00:00+00:00,201703,13,13,True,False,True,True,inside,accepted,True,True,2017-03-13T00:00:00+00:00,2016-10-08T00:00:00+00:00,15.632,123.668,15.556,123.422,-0.0079,-0.10338,0.002,0.002,HOLY244,7.5 m,tether strain,mindoro_source_point,121.5279999999,13.3229999999501,344.95803609858314,321.3123009289514,321.3123009289514,end
300234063250850_20170305T120000Z_20170308T120000Z,accepted,,300234063250850,2017-03-05T12:00:00+00:00,2017-03-08T12:00:00+00:00,201703,13,13,True,False,True,True,inside,accepted,True,True,2017-03-13T00:00:00+00:00,2016-10-08T00:00:00+00:00,15.551,123.404,15.531,123.222,-0.03836,0.01059,0.02,0.013,HOLY244,7.5 m,tether strain,mindoro_source_point,121.5279999999,13.3229999999501,319.6560773354638,305.86448220680484,305.86448220680484,end
300234063250850_20170308T180000Z_20170311T180000Z,accepted,,300234063250850,2017-03-08T18:00:00+00:00,2017-03-11T18:00:00+00:00,201703,13,13,True,False,True,True,inside,accepted,True,True,2017-03-13T00:00:00+00:00,2016-10-08T00:00:00+00:00,15.57,123.2,15.685,123.193,-0.05267,0.09623,0.009,0.006,HOLY244,7.5 m,tether strain,mindoro_source_point,121.5279999999,13.3229999999501,307.95590042331816,317.966033041919,307.95590042331816,start
300234063257280_20180418T060000Z_20180421T060000Z,accepted,,300234063257280,2018-04-18T06:00:00+00:00,2018-04-21T06:00:00+00:00,201804,13,13,True,False,True,True,inside,accepted,True,True,2018-05-02T00:00:00+00:00,2017-09-13T00:00:00+00:00,14.54,124.304,15.161,123.522,-0.25165,0.23684,0.002,0.002,HOLY253,7.5 m,tether strain,mindoro_source_point,121.5279999999,13.3229999999501,328.73451574254796,296.564303855911,296.564303855911,end
