time,hours_elapsed,surface_t,beached_t,evaporated_t,dispersed_t,surface_pct,beached_pct,evaporated_pct,dispersed_pct
2016-09-01 00:00:00,0,50.0131,0.0,0.0,0.0,100.03,0.0,0.0,0.0
2016-09-01 01:00:00,1,49.7512,0.0,0.1321,0.1167,99.5,0.0,0.26,0.23
2016-09-01 02:00:00,2,49.5009,0.0,0.3891,0.11,99.0,0.0,0.78,0.22
2016-09-01 03:00:00,3,49.2683,0.0,0.6309,0.1007,98.54,0.0,1.26,0.2
2016-09-01 04:00:00,4,49.0542,0.0,0.8537,0.092,98.11,0.0,1.71,0.18
2016-09-01 05:00:00,5,48.8503,0.0,1.0607,0.0891,97.7,0.0,2.12,0.18
2016-09-01 06:00:00,6,48.6508,0.0,1.2642,0.085,97.3,0.0,2.53,0.17
2016-09-01 07:00:00,7,48.4723,0.0,1.456,0.0718,96.94,0.0,2.91,0.14
2016-09-01 08:00:00,8,48.3264,0.0,1.6166,0.057,96.65,0.0,3.23,0.11
2016-09-01 09:00:00,9,48.1993,0.0,1.7504,0.0503,96.4,0.0,3.5,0.1
2016-09-01 10:00:00,10,48.0811,0.0,1.875,0.0439,96.16,0.0,3.75,0.09
2016-09-01 11:00:00,11,47.9812,0.0,1.9843,0.0345,95.96,0.0,3.97,0.07
2016-09-01 12:00:00,12,47.8995,0.0,2.0738,0.0267,95.8,0.0,4.15,0.05
2016-09-01 13:00:00,13,47.8251,0.0,2.1505,0.0244,95.65,0.0,4.3,0.05
2016-09-01 14:00:00,14,47.7502,0.0,2.2242,0.0256,95.5,0.0,4.45,0.05
2016-09-01 15:00:00,15,47.671,0.0,2.3013,0.0277,95.34,0.0,4.6,0.06
2016-09-01 16:00:00,16,47.5899,0.0,2.3824,0.0277,95.18,0.0,4.76,0.06
2016-09-01 17:00:00,17,47.5126,0.0,2.4618,0.0256,95.03,0.0,4.92,0.05
2016-09-01 18:00:00,18,47.392,0.0,2.5373,0.0707,94.78,0.0,5.07,0.14
2016-09-01 19:00:00,19,47.198,0.0,2.6087,0.1933,94.4,0.0,5.22,0.39
2016-09-01 20:00:00,20,46.9483,0.0,2.6757,0.376,93.9,0.0,5.35,0.75
2016-09-01 21:00:00,21,46.7113,0.0,2.7341,0.5546,93.42,0.0,5.47,1.11
2016-09-01 22:00:00,22,46.5484,0.0,2.7801,0.6715,93.1,0.0,5.56,1.34
2016-09-01 23:00:00,23,46.4487,0.0,2.8131,0.7382,92.9,0.0,5.63,1.48
2016-09-02 00:00:00,24,46.293,0.0,2.8424,0.8646,92.59,0.0,5.68,1.73
2016-09-02 01:00:00,25,46.0834,0.0,2.8637,1.0529,92.17,0.0,5.73,2.11
2016-09-02 02:00:00,26,45.8483,0.0,2.8765,1.2751,91.7,0.0,5.75,2.55
2016-09-02 03:00:00,27,45.5715,0.0,2.8919,1.5366,91.14,0.0,5.78,3.07
2016-09-02 04:00:00,28,45.256,0.0,2.9093,1.8348,90.51,0.0,5.82,3.67
2016-09-02 05:00:00,29,44.8618,0.0,2.9307,2.2075,89.72,0.0,5.86,4.42
2016-09-02 06:00:00,30,44.3883,0.0,2.9579,2.6538,88.78,0.0,5.92,5.31
2016-09-02 07:00:00,31,43.8903,0.0,2.989,3.1207,87.78,0.0,5.98,6.24
2016-09-02 08:00:00,32,43.4188,0.0,3.0203,3.5608,86.84,0.0,6.04,7.12
2016-09-02 09:00:00,33,43.006,0.0,3.05,3.944,86.01,0.0,6.1,7.89
2016-09-02 10:00:00,34,42.707,0.0,3.0735,4.2195,85.41,0.0,6.15,8.44
2016-09-02 11:00:00,35,42.478,0.0,3.091,4.431,84.96,0.0,6.18,8.86
2016-09-02 12:00:00,36,42.2946,0.0,3.1054,4.6,84.59,0.0,6.21,9.2
2016-09-02 13:00:00,37,42.1749,0.0,3.1154,4.7097,84.35,0.0,6.23,9.42
2016-09-02 14:00:00,38,42.0811,0.0,3.1228,4.7961,84.16,0.0,6.25,9.59
2016-09-02 15:00:00,39,41.996,0.0,3.1284,4.8757,83.99,0.0,6.26,9.75
2016-09-02 16:00:00,40,41.8487,0.0,3.1361,5.0152,83.7,0.0,6.27,10.03
